lua 5.4.4-1
lua-filesystem 1.8.0-3
lua-language-server 2.6.6-1
lua53 5.3.6-1
luajit 2.1.0.beta3.r384.g1d7b5029-1
lutris 0.5.9.1-4
lv2 1.18.2-1
lvm2 2.03.15-1
lxappearance 0.6.3-4
lxc 1:4.0.12-1
lz4 1:1.9.3-2
lzo 2.10-3
lzop 1.04-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.10.1-1
mangohud 0.6.6.1-1
mangohud-common 0.6.6.1-1
mariadb-libs 10.7.3-1
mbedtls 2.28.0-1
md4c 0.4.8-1
mdadm 4.2-1
mesa 21.3.6-1
mesa-utils 8.4.0-7
metis 5.1.0.p10-2
minizip 1:1.2.11-5
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20210805-1
mpfr 4.1.0.p13-2
mpg123 1.29.3-1
msgpack-c 4.0.0-1
mtdev 1.1.6-1
mypaint-brushes1 1.3.1-1
ncurses 6.3-2
ndctl 72.1-1
nemo 5.2.4-1
neofetch 7.1.0-2
neovim 0.6.1-2
nerd-fonts-complete 2.1.0-8
net-snmp 5.9.1-3
netpbm 10.73.37-1
nettle 3.7.3-1
networkmanager 1.34.0-1
nftables 1:1.0.1-3
nmap 7.92-1
node-gyp 8.4.1-1
nodejs-lts-gallium 16.13.2-1
nodejs-nopt 5.0.0-2
nordvpn-bin 3.12.4-1
npm 8.5.1-1
npth 1.6-3
nspr 4.33-1
nss 3.75-1
ntfs-3g 2021.8.22-1
numactl 2.0.14-2
numlockx 1.2-5
nvidia-dkms 510.54-1
nvidia-settings 510.54-1
nvidia-utils 510.54-1
nvim-packer-git r488.963cb58-1
ocl-icd 2.3.1-1
oniguruma 6.9.7.1-1
onlyoffice-bin 7.0.0-1
openal 1.21.1-3
opencore-amr 0.1.5-5
openexr 3.1.4-1
openjpeg2 2.4.0-1
openmpi 4.1.2-1
openrazer-daemon 3.2.0-1
openrazer-driver-dkms 3.2.0-1
openrazer-meta 3.2.0-1
openrgb-bin 0.7-3
openssh 8.8p1-1
openssl 1.1.1.m-1
opus 1.3.1-3
orc 0.4.32-1
os-prober 1.79-1
osinfo-db 20211216-1
ostree 2022.1-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-3
pacman-contrib 1.4.0-4
pacman-mirrorlist 20220116-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pamixer 1.5-3
pango 1:1.50.4-1
pangomm 2.46.2-1
parted 3.4-2
paru 1.9.3-1
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-2
pcre 8.45-1
pcre2 10.39-1
perl 5.34.0-3
perl-clone 0.45-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.12-1
perl-http-date 6.05-4
perl-http-message 6.36-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-io-socket-ssl 2.074-1
perl-libwww 6.58-1
perl-locale-gettext 1.07-11
perl-lwp-mediatypes 6.04-1
perl-lwp-protocol-https 6.10-2
perl-mailtools 2.21-5
perl-net-http 6.22-1
perl-net-ssleay 1.90-2
perl-timedate 2.33-3
perl-try-tiny 0.31-1
perl-uri 5.10-1
perl-www-robotrules 6.02-9
phodav 2.5-1
